Company,Domain,Company LinkedIn URL,Employee Count,Industry,Location,Headquarters,Funding Stage,Estimated Revenue,Technologies,Description,Status,Signal,Score,Found With
Wonderful,wonderful.ai,,140,AI customer service agents,"Tel Aviv, Israel",Tel Aviv,,,,Tel Aviv-based ai customer service agents.,In CRM,,,LinkedIn Sales Nav
CMS,cms.law,,,Law & tax firm,"London, UK",London,,,,London-HQ'd law & tax firm.,In CRM,,,Find People — UK GTM SaaS
Livespace,livespace.io,https://www.linkedin.com/company/livespace,,B2B sales CRM,"Warsaw, Poland",,,,,,In CRM,,,
Zowie,getzowie.com,https://www.linkedin.com/company/zowie-ai,,,"Warsaw, Poland",,,,,,In CRM,,,Webset — events budget
Surfer,surferseo.com,https://www.linkedin.com/company/surferseo,140,Content / SEO,"Wrocław, Poland",Wrocław,Series B,,,Warsaw-based content / seo.,In CRM,,,Webset — events budget
Viktor,viktor.com,,,AI coworker (Slack/Teams),"Warsaw, Poland",Warsaw,,,,Warsaw-based ai coworker (slack/teams).,In CRM,,,LinkedIn Sales Nav
Zeema,zeema.pl,,,,"Warsaw, Poland",,,,,,In CRM,,,
ZYNT,getzynt.com,,5,B2B buying-signal intelligence,"Warsaw, Poland",Warsaw,Growth,,,Warsaw-based b2b buying-signal intelligence.,In CRM,,,LinkedIn Sales Nav
Woodpecker,woodpecker.co,https://www.linkedin.com/company/woodpecker-co,140,Cold email / sales engagement,"Wrocław, Poland",Wrocław,Seed,,,Warsaw-based cold email / sales engagement.,In CRM,,,
Grafit,grafit.agency,,30,Webflow design agency,"Warsaw, Poland",Warsaw,Series B,,,Warsaw-based webflow design agency.,In CRM,,,Find People — UK GTM SaaS
Cognee,cognee.ai,,5,AI memory infrastructure,"Berlin, Germany",Berlin,Public,,,Berlin-based ai memory infrastructure.,In CRM,,,Find People — UK GTM SaaS
Meaningful Sales,meaningfulsales.com,,,AI outbound sales agency,"Wrocław, Poland",,,,,,In CRM,,,LinkedIn Sales Nav
Google for Startups,startup.google.com,,25000,Startup program,"Warsaw, Poland",Warsaw,Public,,,Warsaw-based startup program.,In CRM,,,
PFR,pfr.pl,,,State development fund,"Warsaw, Poland",Warsaw,,,,,In CRM,,,LinkedIn Sales Nav
GOTOSMITH,gotosmith.eu,,,GTM engineering agency,"Warsaw, Poland",Warsaw,,,,Warsaw-based gtm engineering agency.,In CRM,,,LinkedIn Sales Nav
Salesforge,salesforge.ai,https://www.linkedin.com/company/salesforge,140,AI sales engagement,"Tallinn, Estonia",Tallinn,,,,Tallinn-based ai sales engagement.,In CRM,,,Warsaw sponsor lookalikes
Valueships,valueships.com,https://www.linkedin.com/company/valueships,30,B2B SaaS pricing consultancy,"Wrocław, Poland",Wrocław,Series A,,,Warsaw-based b2b saas pricing consultancy.,In CRM,,,LinkedIn Sales Nav
Userpilot,userpilot.com,https://www.linkedin.com/company/userpilot,,,"Austin, USA",,,,,,In CRM,,,Find People — UK GTM SaaS
Brand24,brand24.com,https://www.linkedin.com/company/brand24,,Social listening,"Wrocław, Poland",,,,,,In CRM,,,Webset — events budget
TRAFFIT,traffit.com,https://www.linkedin.com/company/traffit,,,"Gdynia, Poland",,,,,,In CRM,,,
neptune.ai,neptune.ai,https://www.linkedin.com/company/neptuneai,140,MLOps / experiment tracking,"Warsaw, Poland",Warsaw,Series B,,,Warsaw-based mlops / experiment tracking.,In CRM,,,Warsaw sponsor lookalikes
proclaim.studio,proclaim.studio,,5,Generative media automation,"Warsaw, Poland",Warsaw,Bootstrapped,,,Warsaw-based generative media automation.,In CRM,,,LinkedIn Sales Nav
Cognism,cognism.com,https://www.linkedin.com/company/cognism,500,Sales intelligence / data,"London, UK",London,Seed,,,London-HQ'd sales intelligence / data.,New,,,LinkedIn Sales Nav
Attio,attio.com,https://www.linkedin.com/company/attio,140,CRM,"London, UK",London,Bootstrapped,,,London-HQ'd crm.,Enriching,,,
Kaspr,kaspr.io,https://www.linkedin.com/company/kaspr,,Prospecting / data,"Paris, France",Paris,,,,,New,,,LinkedIn Sales Nav
Operatix,operatix.net,https://www.linkedin.com/company/operatix,500,Outsourced SDR agency,"London, UK",London,Seed,,,London-HQ'd outsourced sdr agency.,To research,,,Warsaw sponsor lookalikes
Sopro,sopro.io,https://www.linkedin.com/company/sopro,,,"Brighton, UK",,,,,,Qualified,,,
durhamlane,durhamlane.com,https://www.linkedin.com/company/durhamlane,140,Sales acceleration agency,"Newcastle, UK",Newcastle,Series C,,,Newcastle-based sales acceleration agency.,New,,,Warsaw sponsor lookalikes
Sales Foundations,salesfoundations.co.uk,,,Clay / GTM consultancy,"London, UK",,,,,,To research,,,Find People — UK GTM SaaS
ORRJO,orrjo.com,,,,"London, UK",,,,,,Enriching,,,Find People — UK GTM SaaS
Jiminny,jiminny.com,https://www.linkedin.com/company/jiminny,,,"London, UK",,,,,,To research,,,Warsaw sponsor lookalikes
Paddle,paddle.com,https://www.linkedin.com/company/paddle,500,Billing / merchant of record,"London, UK",London,Growth,,,London-HQ'd billing / merchant of record.,Enriching,,,
Velaris,velaris.io,https://www.linkedin.com/company/velaris,30,Customer success (AI),"London, UK",London,Seed,,,London-HQ'd customer success (ai).,To research,,,Warsaw sponsor lookalikes
PolyAI,poly.ai,https://www.linkedin.com/company/polyai,500,Voice AI agents,"London, UK",London,,,,London-HQ'd voice ai agents.,To research,,,
Tessl,tessl.io,https://www.linkedin.com/company/tessl,,,"London, UK",,,,,,New,,,Webset — events budget
Synthesia,synthesia.io,https://www.linkedin.com/company/synthesia,,AI video platform,"London, UK",London,,,,London-HQ'd ai video platform.,To research,,,Webset — events budget
Huble,huble.com,https://www.linkedin.com/company/huble,,HubSpot Elite partner,"London, UK",London,,,,London-HQ'd hubspot elite partner.,To research,,,Warsaw sponsor lookalikes
Transmission,transmissionagency.com,https://www.linkedin.com/company/transmission-agency,,,"London, UK",,,,,,Enriching,,,Find People — UK GTM SaaS
Earnest,earnest-agency.com,,140,B2B marketing agency,"London, UK",London,Growth,,,London-HQ'd b2b marketing agency.,To research,,,Webset — events budget
Gravity Global,gravityglobal.com,,500,B2B full-service agency,"London, UK",London,Bootstrapped,,,London-HQ'd b2b full-service agency.,Enriching,,,Webset — events budget
Stein IAS,steinb2b.com,,140,B2B marketing agency,"Manchester, UK",Manchester,Seed,,,Manchester-based b2b marketing agency.,To research,,,
AriseGTM,arisegtm.com,,30,RevOps / HubSpot agency,"Leeds, UK",Leeds,Series C,,,Leeds-based revops / hubspot agency.,To research,,,Warsaw sponsor lookalikes
BabelQuest,babelquest.co.uk,,140,RevOps / HubSpot agency,"Abingdon, UK",Abingdon,Series C,,,Abingdon-based revops / hubspot agency.,To research,,,Find People — UK GTM SaaS
The Lead Generation Company,theleadgenerationcompany.co.uk,,,Lead gen agency,"London, UK",London,,,,London-based lead gen agency.,To research,,,Webset — events budget
Polaris Agency,polarisagency.com,,,Demand gen agency,"London, UK",London,,,,London-based demand gen agency.,Enriching,,,
Cremarc,cremarc.com,,30,Demand gen / ABM agency,"Bournemouth, UK",Bournemouth,Bootstrapped,,,Bournemouth-based demand gen / abm agency.,New,,,Warsaw sponsor lookalikes
Strategic IC,strategic-ic.co.uk,,30,Inbound / ABM consultancy,"London, UK",London,,,,London-HQ'd inbound / abm consultancy.,To research,,,Webset — events budget
Six & Flow,sixandflow.com,,,,"Manchester, UK",,,,,,To research,,,Warsaw sponsor lookalikes
Gripped,gripped.io,,30,Digital demand gen agency,"London, UK",London,Growth,,,London-HQ'd digital demand gen agency.,New,,,Warsaw sponsor lookalikes
Clay,clay.com,https://www.linkedin.com/company/clay-hq,500,GTM data / automation,"New York, USA",New York,,,,New York-based gtm data / automation.,Qualified,,,
Apollo.io,apollo.io,https://www.linkedin.com/company/apolloio,2200,Sales intelligence / engagement,"San Francisco, USA",San Francisco,Growth,,,San Francisco-based sales intelligence / engagement.,New,,,Webset — events budget
Outreach,outreach.io,https://www.linkedin.com/company/outreach-io,2200,Sales engagement,"Seattle, USA",Seattle,,,,Seattle-based sales engagement.,New,,,Warsaw sponsor lookalikes
Salesloft,salesloft.com,https://www.linkedin.com/company/salesloft,,Sales engagement,"Atlanta, USA",,,,,,To research,,,Webset — events budget
Gong,gong.io,https://www.linkedin.com/company/gong-io,,,"San Francisco, USA",,,,,,New,,,Find People — UK GTM SaaS
Clari,clari.com,https://www.linkedin.com/company/clari,,RevOps / revenue platform,"Sunnyvale, USA",,,,,,To research,,,Webset — events budget
HubSpot,hubspot.com,https://www.linkedin.com/company/hubspot,,,"Cambridge, USA",,,,,,To research,,,Webset — events budget
ZoomInfo,zoominfo.com,https://www.linkedin.com/company/zoominfo,2200,Sales intelligence / data,"Vancouver, USA",Vancouver,Public,,,Vancouver-based sales intelligence / data.,New,,,Warsaw sponsor lookalikes
Lusha,lusha.com,https://www.linkedin.com/company/lusha,500,B2B contact data,"Tel Aviv, Israel",Tel Aviv,,,,Tel Aviv-based b2b contact data.,To research,,,Webset — events budget
Pigment,pigment.com,https://www.linkedin.com/company/pigmenthq,,RevOps / business planning,"Paris, France",Paris,,,,Paris-based revops / business planning.,To research,,,Find People — UK GTM SaaS
Aircall,aircall.io,https://www.linkedin.com/company/aircall,500,Sales telephony,"New York, USA",New York,Public,,,New York-based sales telephony.,To research,,,
Lavender,lavender.ai,https://www.linkedin.com/company/lavender-ai,30,Sales email AI,"New York, USA",New York,Series A,,,New York-based sales email ai.,Qualified,,,
Dealfront,dealfront.com,https://www.linkedin.com/company/dealfront,500,Data / visitor identification,"Karlsruhe, Germany",Karlsruhe,Public,,,Karlsruhe-based data / visitor identification.,To research,,,Webset — events budget
Leadfeeder,leadfeeder.com,https://www.linkedin.com/company/leadfeeder,500,Website visitor ID / ABM,"Helsinki, Finland",Helsinki,Series B,,,Helsinki-based website visitor id / abm.,Enriching,,,Find People — UK GTM SaaS
Albacross,albacross.com,https://www.linkedin.com/company/albacross,140,Intent / visitor ID,"Stockholm, Sweden",Stockholm,,,,Stockholm-based intent / visitor id.,Enriching,,,Webset — events budget
Pipedrive,pipedrive.com,https://www.linkedin.com/company/pipedrive,2200,CRM,"New York, USA",New York,Bootstrapped,,,New York-based crm.,To research,,,
memoryBlue,memoryblue.com,https://www.linkedin.com/company/memoryblue,,,"Tysons, USA",,,,,,Qualified,,,Find People — UK GTM SaaS
Highspot,highspot.com,https://www.linkedin.com/company/highspot,2200,Sales enablement,"Seattle, USA",Seattle,,,,Seattle-based sales enablement.,Qualified,,,LinkedIn Sales Nav
Seismic,seismic.com,https://www.linkedin.com/company/seismic-software,2200,Sales enablement,"San Diego, USA",San Diego,Series C,,,San Diego-based sales enablement.,Enriching,,,Find People — UK GTM SaaS
Showpad,showpad.com,https://www.linkedin.com/company/showpad,,Sales enablement,"Ghent, Belgium",Ghent,,,,,Qualified,,,
Mindtickle,mindtickle.com,https://www.linkedin.com/company/mindtickle,,Revenue enablement,"San Francisco, USA",,,,,,To research,,,
Allego,allego.com,https://www.linkedin.com/company/allego,140,Sales enablement,"Waltham, USA",Waltham,Seed,,,Waltham-based sales enablement.,Qualified,,,
Dock,dock.us,https://www.linkedin.com/company/dock-us,,Digital sales rooms,"San Francisco, USA",San Francisco,,,,,Enriching,,,Find People — UK GTM SaaS
Bigtincan,bigtincan.com,https://www.linkedin.com/company/bigtincan,500,Sales enablement,"Sydney, Australia",Sydney,,,,Sydney-based sales enablement.,To research,,,Webset — events budget
Avoma,avoma.com,https://www.linkedin.com/company/avoma,140,Conversation intelligence,"Palo Alto, USA",Palo Alto,Growth,,,Palo Alto-based conversation intelligence.,Qualified,,,LinkedIn Sales Nav
Fathom,fathom.video,https://www.linkedin.com/company/fathom-video,140,Conversation intelligence,"San Francisco, USA",San Francisco,Bootstrapped,,,San Francisco-based conversation intelligence.,Qualified,,,LinkedIn Sales Nav
tl;dv,tldv.io,https://www.linkedin.com/company/tldv,30,Conversation intelligence,"Aachen, Germany",Aachen,Bootstrapped,,,Aachen-based conversation intelligence.,Enriching,,,Webset — events budget
Salesken,salesken.ai,https://www.linkedin.com/company/salesken,,,"Bengaluru, India",,,,,,To research,,,Warsaw sponsor lookalikes
Reply.io,reply.io,https://www.linkedin.com/company/reply-io,140,Sales engagement,"San Jose, USA",San Jose,,,,San Jose-based sales engagement.,New,,,Webset — events budget
lemlist,lemlist.com,https://www.linkedin.com/company/lemlist,,Outbound / cold email,"Paris, France",Paris,,,,,To research,,,
Smartlead,smartlead.ai,https://www.linkedin.com/company/smartlead-ai,140,Outbound infrastructure,"Sydney, Australia",Sydney,Bootstrapped,,,Sydney-based outbound infrastructure.,New,,,LinkedIn Sales Nav
Instantly,instantly.ai,https://www.linkedin.com/company/instantly-ai,140,Outbound infrastructure,"Sheridan, USA",Sheridan,,,,Sheridan-based outbound infrastructure.,Enriching,,,
Mixmax,mixmax.com,https://www.linkedin.com/company/mixmax,,,"San Francisco, USA",,,,,,To research,,,Webset — events budget
Bombora,bombora.com,https://www.linkedin.com/company/bombora,500,Intent data,"New York, USA",New York,,,,New York-based intent data.,To research,,,LinkedIn Sales Nav
6sense,6sense.com,https://www.linkedin.com/company/6sense,,,"San Francisco, USA",,,,,,To research,,,Warsaw sponsor lookalikes
Ocean.io,ocean.io,https://www.linkedin.com/company/ocean-io,,Enrichment / lookalike,"Copenhagen, Denmark",,,,,,Qualified,,,LinkedIn Sales Nav
LeadIQ,leadiq.com,https://www.linkedin.com/company/leadiq,140,Prospecting / enrichment,"San Francisco, USA",San Francisco,Seed,,,San Francisco-based prospecting / enrichment.,To research,,,
Vainu,vainu.io,https://www.linkedin.com/company/vainu,,,"Helsinki, Finland",,,,,,Enriching,,,Webset — events budget
Chili Piper,chilipiper.com,https://www.linkedin.com/company/chili-piper,500,Routing / scheduling,"Brooklyn, USA",Brooklyn,,,,Brooklyn-based routing / scheduling.,New,,,Warsaw sponsor lookalikes
RevenueHero,revenuehero.io,https://www.linkedin.com/company/revenuehero,,,"Wilmington, USA",,,,,,To research,,,Find People — UK GTM SaaS
Default,default.com,https://www.linkedin.com/company/trydefault,30,Routing / enrichment,"San Francisco, USA",San Francisco,Growth,,,San Francisco-based routing / enrichment.,Enriching,,,Webset — events budget
LeanData,leandata.com,https://www.linkedin.com/company/leandata,,Lead routing,"Santa Clara, USA",Santa Clara,,,,Santa Clara-based lead routing.,New,,,Webset — events budget
Cal.com,cal.com,https://www.linkedin.com/company/cal-com,140,Scheduling infrastructure,"San Francisco, USA",San Francisco,Growth,,,San Francisco-based scheduling infrastructure.,Enriching,,,Find People — UK GTM SaaS
DealHub,dealhub.io,https://www.linkedin.com/company/dealhub,,CPQ / quote-to-revenue,"Austin, USA",,,,,,Enriching,,,
Younium,younium.com,https://www.linkedin.com/company/younium,140,Subscription management,"Stockholm, Sweden",Stockholm,Series B,,,Stockholm-based subscription management.,Enriching,,,Find People — UK GTM SaaS
Maxio,maxio.com,https://www.linkedin.com/company/maxio,500,Billing / financial reporting,"Atlanta, USA",Atlanta,Series B,,,Atlanta-based billing / financial reporting.,Qualified,,,Find People — UK GTM SaaS
Planhat,planhat.com,https://www.linkedin.com/company/planhat,,,"Stockholm, Sweden",,,,,,Enriching,,,Find People — UK GTM SaaS
Vitally,vitally.io,https://www.linkedin.com/company/vitally-io,140,Customer success,"New York, USA",New York,Series B,,,New York-based customer success.,To research,,,Webset — events budget
ChurnZero,churnzero.com,https://www.linkedin.com/company/churnzero,500,Customer success,"Washington, USA",Washington,,,,Washington-based customer success.,To research,,,Warsaw sponsor lookalikes
Custify,custify.com,https://www.linkedin.com/company/custify,,Customer success,"Bucharest, Romania",,,,,,To research,,,
June,june.so,https://www.linkedin.com/company/june-so,5,PLG analytics,"San Francisco, USA",San Francisco,,,,San Francisco-based plg analytics.,To research,,,LinkedIn Sales Nav
Mixpanel,mixpanel.com,https://www.linkedin.com/company/mixpanel,500,Product analytics,"San Francisco, USA",San Francisco,,,,San Francisco-based product analytics.,New,,,
Heap,heap.io,https://www.linkedin.com/company/heap,500,Product analytics,"San Francisco, USA",San Francisco,Public,,,San Francisco-based product analytics.,Enriching,,,Warsaw sponsor lookalikes
Chameleon,chameleon.io,https://www.linkedin.com/company/trychameleon,30,Onboarding / adoption,"San Francisco, USA",San Francisco,Growth,,,San Francisco-based onboarding / adoption.,New,,,LinkedIn Sales Nav
Folk,folk.app,https://www.linkedin.com/company/folkapp,,,"Paris, France",,,,,,To research,,,LinkedIn Sales Nav
Twenty,twenty.com,https://www.linkedin.com/company/twenty-crm,,Open-source CRM,"Paris, France",Paris,,,,,Enriching,,,Find People — UK GTM SaaS
Salesflare,salesflare.com,https://www.linkedin.com/company/salesflare,,SMB B2B CRM,"Antwerp, Belgium",Antwerp,,,,Antwerp-based smb b2b crm.,New,,,Webset — events budget
Close,close.com,https://www.linkedin.com/company/close-crm,140,Inside-sales CRM,"Remote, USA",Remote,,,,Remote-based inside-sales crm.,Qualified,,,LinkedIn Sales Nav
11x,11x.ai,https://www.linkedin.com/company/11x-ai,140,AI SDR / digital workers,"San Francisco, USA",San Francisco,Series A,,,San Francisco-based ai sdr / digital workers.,Enriching,,,LinkedIn Sales Nav
Artisan,artisan.co,https://www.linkedin.com/company/artisanco,,AI SDR,"San Francisco, USA",San Francisco,,,,,To research,,,Warsaw sponsor lookalikes
Unify,unifygtm.com,https://www.linkedin.com/company/unifygtm,140,AI GTM / signal-to-outbound,"San Francisco, USA",San Francisco,,,,San Francisco-based ai gtm / signal-to-outbound.,To research,,,Find People — UK GTM SaaS
Relevance AI,relevanceai.com,https://www.linkedin.com/company/relevanceai,,,"Sydney, Australia",,,,,,Qualified,,,Warsaw sponsor lookalikes
AiSDR,aisdr.com,https://www.linkedin.com/company/aisdr,30,AI SDR,"San Francisco, USA",San Francisco,Growth,,,San Francisco-based ai sdr.,To research,,,LinkedIn Sales Nav
Aomni,aomni.com,https://www.linkedin.com/company/aomni,5,AI account research,"San Francisco, USA",San Francisco,Seed,,,San Francisco-based ai account research.,New,,,LinkedIn Sales Nav
Customer.io,customer.io,https://www.linkedin.com/company/customer-io,,,"Portland, USA",,,,,,Qualified,,,LinkedIn Sales Nav
Ortto,ortto.com,https://www.linkedin.com/company/ortto,140,Automation + CDP,"Sydney, Australia",Sydney,Growth,,,Sydney-based automation + cdp.,Qualified,,,Warsaw sponsor lookalikes
Influ2,influ2.com,https://www.linkedin.com/company/influ2,,,"New York, USA",,,,,,To research,,,
Encharge,encharge.io,https://www.linkedin.com/company/encharge,5,Marketing automation,"Sofia, Bulgaria",Sofia,,,,Sofia-based marketing automation.,To research,,,
Common Room,commonroom.io,https://www.linkedin.com/company/common-room,140,Signal-based GTM,"Seattle, USA",Seattle,Growth,,,Seattle-based signal-based gtm.,Qualified,,,Warsaw sponsor lookalikes
RB2B,rb2b.com,https://www.linkedin.com/company/rb2b,,,"Austin, USA",,,,,,Qualified,,,LinkedIn Sales Nav
Crossbeam,crossbeam.com,https://www.linkedin.com/company/crossbeam,,Partner ecosystem / ELG,"Philadelphia, USA",,,,,,Enriching,,,Find People — UK GTM SaaS
PartnerStack,partnerstack.com,https://www.linkedin.com/company/partnerstack,500,Partnerships / channel,"Toronto, Canada",Toronto,Bootstrapped,,,Toronto-based partnerships / channel.,To research,,,
Bevy,bevy.com,https://www.linkedin.com/company/bevylabs,,Community events platform,"Palo Alto, USA",Palo Alto,,,,Palo Alto-based community events platform.,New,,,Webset — events budget
Goldcast,goldcast.io,https://www.linkedin.com/company/goldcast,140,B2B events / webinar,"Boston, USA",Boston,Series A,,,Boston-based b2b events / webinar.,New,,,Warsaw sponsor lookalikes
Luma,luma.com,https://www.linkedin.com/company/lumalabs,,,"San Francisco, USA",,,,,,Enriching,,,
ElevenLabs,elevenlabs.io,https://www.linkedin.com/company/elevenlabsio,,AI audio / voice,"London, UK",London,,,,London-based ai audio / voice.,Qualified,,,Find People — UK GTM SaaS
Notion Capital,notioncapital.com,https://www.linkedin.com/company/notion-capital,,VC — B2B SaaS,"London, UK",London,,,,,New,,,Warsaw sponsor lookalikes
Episode 1 Ventures,episode1.com,https://www.linkedin.com/company/episode-1-ventures,5,VC — seed B2B,"London, UK",London,Growth,,,London-HQ'd vc — seed b2b.,To research,,,Webset — events budget
LocalGlobe,localglobe.vc,https://www.linkedin.com/company/localglobe,30,VC — seed,"London, UK",London,,,,London-HQ'd vc — seed.,To research,,,Warsaw sponsor lookalikes
Seedcamp,seedcamp.com,https://www.linkedin.com/company/seedcamp,30,VC — pre-seed/seed,"London, UK",London,Bootstrapped,,,London-HQ'd vc — pre-seed/seed.,Enriching,,,LinkedIn Sales Nav
Balderton Capital,balderton.com,https://www.linkedin.com/company/balderton-capital,,VC — early/growth,"London, UK",,,,,,To research,,,
Hoxton Ventures,hoxton.ventures,https://www.linkedin.com/company/hoxton-ventures,,VC — seed,"London, UK",,,,,,To research,,,Webset — events budget
Point Nine,pointnine.com,https://www.linkedin.com/company/point-nine-capital,,,"Berlin, Germany",,,,,,New,,,Webset — events budget
Index Ventures,indexventures.com,https://www.linkedin.com/company/index-ventures,,,"London, UK",,,,,,New,,,
Octopus Ventures,octopusventures.com,https://www.linkedin.com/company/octopus-ventures,140,VC — early/growth,"London, UK",London,Series C,,,London-HQ'd vc — early/growth.,Qualified,,,Warsaw sponsor lookalikes
Atomico,atomico.com,https://www.linkedin.com/company/atomico,140,VC — growth/B2B,"London, UK",London,,,,London-HQ'd vc — growth/b2b.,New,,,LinkedIn Sales Nav
Dawn Capital,dawncapital.com,https://www.linkedin.com/company/dawn-capital,30,VC — B2B SaaS,"London, UK",London,,,,London-HQ'd vc — b2b saas.,Qualified,,,Webset — events budget
Frontline Ventures,frontline.vc,https://www.linkedin.com/company/frontline-ventures,30,VC — B2B SaaS,"Dublin, Ireland",Dublin,Growth,,,Dublin-based vc — b2b saas.,To research,,,Warsaw sponsor lookalikes
MMC Ventures,mmc.vc,https://www.linkedin.com/company/mmc-ventures,,,"London, UK",,,,,,Enriching,,,
Eight Roads,eightroads.com,https://www.linkedin.com/company/eight-roads,140,VC — growth,"London, UK",London,Series B,,,London-HQ'd vc — growth.,Enriching,,,
83North,83north.com,https://www.linkedin.com/company/83north,30,VC — early/growth,"London, UK",London,,,,London-HQ'd vc — early/growth.,To research,,,
Accel,accel.com,https://www.linkedin.com/company/accel,,VC — multi-stage,"London, UK",,,,,,Enriching,,,Find People — UK GTM SaaS
Northzone,northzone.com,https://www.linkedin.com/company/northzone,,VC — multi-stage,"Stockholm, Sweden",Stockholm,,,,,Qualified,,,Find People — UK GTM SaaS
Project A,project-a.vc,https://www.linkedin.com/company/project-a-ventures,,VC — operator-led,"Berlin, Germany",,,,,,To research,,,Warsaw sponsor lookalikes
Felix Capital,felixcap.com,https://www.linkedin.com/company/felix-capital,30,VC — consumer/enterprise,"London, UK",London,Series A,,,London-HQ'd vc — consumer/enterprise.,Qualified,,,LinkedIn Sales Nav
