company_domain,company_name,is_past_sponsor,uk_london_presence,sells_to_gtm,recently_funded,events_budget_signal,audience_overlap,hiring_demand_gen,icp_fit_score,tier,recommended_package,rationale
wonderful.ai,Wonderful,true,3,3,1,4,3,5,66,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
cms.law,CMS,true,5,3,3,5,4,3,81,A,Platinum,Sponsored Warsaw 2026; warm renewal candidate.
livespace.io,Livespace,true,2,5,4,3,4,0,69,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
getzowie.com,Zowie,true,2,3,1,1,3,4,49,C,Side-event Partner,Sponsored Warsaw 2026; warm renewal candidate.
surferseo.com,Surfer,true,2,3,1,3,3,3,55,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
viktor.com,Viktor,true,2,3,1,0,3,2,42,C,Side-event Partner,Sponsored Warsaw 2026; warm renewal candidate.
zeema.pl,Zeema,true,2,3,2,4,3,4,63,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
getzynt.com,ZYNT,true,2,3,2,2,3,4,56,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
woodpecker.co,Woodpecker,true,2,5,2,4,4,1,69,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
grafit.agency,Grafit,true,2,3,3,1,3,2,51,C,Silver,Sponsored Warsaw 2026; warm renewal candidate.
cognee.ai,Cognee,true,3,3,1,1,3,5,55,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
meaningfulsales.com,Meaningful Sales,true,2,5,5,2,4,3,74,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
startup.google.com,Google for Startups,true,2,3,2,3,3,4,59,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
pfr.pl,PFR,true,2,3,4,0,3,1,48,C,Silver,Sponsored Warsaw 2026; warm renewal candidate.
gotosmith.eu,GOTOSMITH,true,2,5,3,2,4,2,67,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
salesforge.ai,Salesforge,true,3,5,5,4,4,4,87,A,Platinum,Sponsored Warsaw 2026; warm renewal candidate.
valueships.com,Valueships,true,2,3,4,3,3,3,63,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
userpilot.com,Userpilot,true,3,3,4,3,3,5,70,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
brand24.com,Brand24,true,2,3,4,4,3,2,65,B,Gold,Sponsored Warsaw 2026; warm renewal candidate.
traffit.com,TRAFFIT,true,2,3,1,5,3,0,56,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
neptune.ai,neptune.ai,true,2,3,1,0,3,2,42,C,Silver,Sponsored Warsaw 2026; warm renewal candidate.
proclaim.studio,proclaim.studio,true,2,3,5,1,3,4,60,B,Silver,Sponsored Warsaw 2026; warm renewal candidate.
cognism.com,Cognism,false,5,5,5,4,5,2,88,A,Platinum,London-HQ revtech / gtm saas selling to GTM operators.
attio.com,Attio,false,5,5,5,5,5,1,90,A,Platinum,London-HQ revtech / gtm saas selling to GTM operators.
kaspr.io,Kaspr,false,3,5,4,0,4,1,58,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
operatix.net,Operatix,false,5,3,1,2,4,1,56,B,Silver,London-HQ gtm service / agency selling to GTM operators.
sopro.io,Sopro,false,4,5,1,5,5,1,75,A,Headline Partner,Yes gtm service / agency selling to GTM operators.
durhamlane.com,durhamlane,false,4,5,1,2,5,5,71,B,Gold,Yes gtm service / agency selling to GTM operators.
salesfoundations.co.uk,Sales Foundations,false,5,5,2,3,5,0,72,B,Silver,London-HQ gtm service / agency selling to GTM operators.
orrjo.com,ORRJO,false,5,5,1,4,5,1,75,A,Headline Partner,London-HQ gtm service / agency selling to GTM operators.
jiminny.com,Jiminny,false,5,5,2,2,5,4,76,A,Platinum,London-HQ revtech / gtm saas selling to GTM operators.
paddle.com,Paddle,false,5,3,5,5,4,3,81,A,Headline Partner,London-HQ revtech / gtm saas selling to GTM operators.
velaris.io,Velaris,false,5,3,4,5,4,4,81,A,Headline Partner,London-HQ ai / infra selling to GTM operators.
poly.ai,PolyAI,false,5,3,1,5,4,5,74,B,Silver,London-HQ ai / infra selling to GTM operators.
tessl.io,Tessl,false,5,3,2,5,4,5,77,A,Headline Partner,London-HQ ai / infra selling to GTM operators.
synthesia.io,Synthesia,false,5,3,5,5,4,4,83,A,Platinum,London-HQ ai / infra selling to GTM operators.
huble.com,Huble,false,5,5,1,4,5,4,81,A,Platinum,London-HQ revtech / gtm saas selling to GTM operators.
transmissionagency.com,Transmission,false,5,5,5,5,5,4,95,A,Platinum,London-HQ gtm service / agency selling to GTM operators.
earnest-agency.com,Earnest,false,5,5,3,5,5,1,84,A,Platinum,London-HQ gtm service / agency selling to GTM operators.
gravityglobal.com,Gravity Global,false,5,3,4,5,4,5,82,A,Platinum,London-HQ gtm service / agency selling to GTM operators.
steinb2b.com,Stein IAS,false,4,5,2,3,5,2,72,B,Silver,Yes gtm service / agency selling to GTM operators.
arisegtm.com,AriseGTM,false,3,5,1,4,4,0,63,B,Silver,Expanding gtm service / agency selling to GTM operators.
babelquest.co.uk,BabelQuest,false,4,5,5,1,5,2,73,B,Gold,Yes gtm service / agency selling to GTM operators.
theleadgenerationcompany.co.uk,The Lead Generation Company,false,4,3,2,2,4,4,60,B,Silver,Yes gtm service / agency selling to GTM operators.
polarisagency.com,Polaris Agency,false,4,3,5,3,4,2,69,B,Gold,Yes gtm service / agency selling to GTM operators.
cremarc.com,Cremarc,false,4,5,3,5,5,0,79,A,Headline Partner,Yes gtm service / agency selling to GTM operators.
strategic-ic.co.uk,Strategic IC,false,5,5,2,5,5,3,85,A,Headline Partner,London-HQ gtm service / agency selling to GTM operators.
sixandflow.com,Six & Flow,false,4,5,3,4,5,0,75,A,Headline Partner,Yes gtm service / agency selling to GTM operators.
gripped.io,Gripped,false,5,3,1,3,4,2,61,B,Silver,London-HQ gtm service / agency selling to GTM operators.
clay.com,Clay,false,4,5,5,1,5,5,79,A,Platinum,Yes revtech / gtm saas selling to GTM operators.
apollo.io,Apollo.io,false,4,5,5,3,5,0,77,A,Platinum,Yes revtech / gtm saas selling to GTM operators.
outreach.io,Outreach,false,4,5,5,2,5,4,81,A,Platinum,Yes revtech / gtm saas selling to GTM operators.
salesloft.com,Salesloft,false,4,5,5,0,5,5,75,A,Platinum,Yes revtech / gtm saas selling to GTM operators.
gong.io,Gong,false,4,5,5,1,5,4,77,A,Headline Partner,Yes revtech / gtm saas selling to GTM operators.
clari.com,Clari,false,4,5,3,3,5,4,79,A,Headline Partner,Yes revtech / gtm saas selling to GTM operators.
hubspot.com,HubSpot,false,4,5,2,2,5,4,72,B,Gold,Yes revtech / gtm saas selling to GTM operators.
zoominfo.com,ZoomInfo,false,4,5,4,4,5,0,78,A,Headline Partner,Yes revtech / gtm saas selling to GTM operators.
lusha.com,Lusha,false,4,5,4,1,5,3,72,B,Silver,Yes revtech / gtm saas selling to GTM operators.
pigment.com,Pigment,false,4,5,5,1,5,5,79,A,Headline Partner,Yes revtech / gtm saas selling to GTM operators.
aircall.io,Aircall,false,4,5,4,1,5,4,74,B,Gold,Yes revtech / gtm saas selling to GTM operators.
lavender.ai,Lavender,false,3,5,4,3,4,4,75,A,Headline Partner,Expanding ai / infra selling to GTM operators.
dealfront.com,Dealfront,false,4,5,2,1,5,1,63,B,Gold,Yes revtech / gtm saas selling to GTM operators.
leadfeeder.com,Leadfeeder,false,4,5,5,2,5,0,73,B,Gold,Yes revtech / gtm saas selling to GTM operators.
albacross.com,Albacross,false,3,5,4,3,4,4,75,A,Headline Partner,Expanding revtech / gtm saas selling to GTM operators.
pipedrive.com,Pipedrive,false,4,5,5,2,5,4,81,A,Headline Partner,Yes revtech / gtm saas selling to GTM operators.
memoryblue.com,memoryBlue,false,4,3,4,1,4,5,64,B,Gold,Yes gtm service / agency selling to GTM operators.
highspot.com,Highspot,false,4,5,1,3,5,3,71,B,Silver,Yes revtech / gtm saas selling to GTM operators.
seismic.com,Seismic,false,4,5,0,5,5,2,74,B,Gold,Yes revtech / gtm saas selling to GTM operators.
showpad.com,Showpad,false,4,5,0,2,5,1,61,B,Gold,Yes revtech / gtm saas selling to GTM operators.
mindtickle.com,Mindtickle,false,3,5,0,3,4,2,60,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
allego.com,Allego,false,3,5,4,4,4,2,75,A,Headline Partner,Expanding revtech / gtm saas selling to GTM operators.
dock.us,Dock,false,3,5,5,3,4,1,72,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
bigtincan.com,Bigtincan,false,4,5,5,2,5,2,77,A,Headline Partner,Yes revtech / gtm saas selling to GTM operators.
avoma.com,Avoma,false,3,5,1,4,4,4,70,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
fathom.video,Fathom,false,3,5,3,1,4,4,65,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
tldv.io,tl;dv,false,3,5,3,1,4,2,61,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
salesken.ai,Salesken,false,3,5,4,3,4,2,71,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
reply.io,Reply.io,false,3,5,0,3,4,1,58,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
lemlist.com,lemlist,false,3,5,4,4,4,5,81,A,Platinum,Expanding ai / infra selling to GTM operators.
smartlead.ai,Smartlead,false,3,5,3,1,4,1,59,B,Silver,Expanding ai / infra selling to GTM operators.
instantly.ai,Instantly,false,3,5,3,4,4,4,76,A,Platinum,Expanding ai / infra selling to GTM operators.
mixmax.com,Mixmax,false,3,5,5,1,4,1,65,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
bombora.com,Bombora,false,4,5,2,4,5,3,78,A,Headline Partner,Yes revtech / gtm saas selling to GTM operators.
6sense.com,6sense,false,4,5,5,4,5,5,90,A,Platinum,Yes revtech / gtm saas selling to GTM operators.
ocean.io,Ocean.io,false,3,5,2,0,4,4,58,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
leadiq.com,LeadIQ,false,3,5,3,1,4,1,59,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
vainu.io,Vainu,false,3,5,4,3,4,3,73,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
chilipiper.com,Chili Piper,false,3,3,2,4,3,2,57,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
revenuehero.io,RevenueHero,false,3,3,4,2,3,4,59,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
default.com,Default,false,3,5,5,2,4,4,74,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
leandata.com,LeanData,false,3,3,4,3,3,5,65,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
cal.com,Cal.com,false,3,3,2,2,3,4,54,C,Startup / Community,Expanding ai / infra selling to GTM operators.
dealhub.io,DealHub,false,3,3,4,4,3,3,65,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
younium.com,Younium,false,3,3,1,0,3,4,44,C,Startup / Community,Expanding revtech / gtm saas selling to GTM operators.
maxio.com,Maxio,false,3,3,4,2,3,3,57,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
planhat.com,Planhat,false,4,3,5,4,4,1,70,B,Gold,Yes revtech / gtm saas selling to GTM operators.
vitally.io,Vitally,false,3,3,2,2,3,2,50,C,Silver,Expanding revtech / gtm saas selling to GTM operators.
churnzero.com,ChurnZero,false,3,3,4,4,3,5,69,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
custify.com,Custify,false,4,3,0,0,4,3,45,C,Startup / Community,Yes revtech / gtm saas selling to GTM operators.
june.so,June,false,3,3,3,0,3,3,47,C,Silver,Expanding revtech / gtm saas selling to GTM operators.
mixpanel.com,Mixpanel,false,4,3,1,0,4,1,44,C,Side-event Partner,Yes revtech / gtm saas selling to GTM operators.
heap.io,Heap,false,4,3,1,2,4,5,59,B,Silver,Yes revtech / gtm saas selling to GTM operators.
chameleon.io,Chameleon,false,3,3,1,3,3,2,51,C,Silver,Expanding revtech / gtm saas selling to GTM operators.
folk.app,Folk,false,3,5,1,2,4,2,59,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
twenty.com,Twenty,false,3,5,2,2,4,3,64,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
salesflare.com,Salesflare,false,3,5,0,3,4,1,58,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
close.com,Close,false,3,5,5,4,4,4,81,A,Headline Partner,Expanding revtech / gtm saas selling to GTM operators.
11x.ai,11x,false,4,3,5,4,4,4,76,A,Platinum,Yes ai / infra selling to GTM operators.
artisan.co,Artisan,false,3,3,1,3,3,0,47,C,Startup / Community,Expanding ai / infra selling to GTM operators.
unifygtm.com,Unify,false,3,5,5,4,4,2,78,A,Platinum,Expanding ai / infra selling to GTM operators.
relevanceai.com,Relevance AI,false,3,3,1,2,3,2,47,C,Silver,Expanding ai / infra selling to GTM operators.
aisdr.com,AiSDR,false,3,3,4,5,3,1,65,B,Silver,Expanding ai / infra selling to GTM operators.
aomni.com,Aomni,false,3,3,4,4,3,4,67,B,Gold,Expanding ai / infra selling to GTM operators.
customer.io,Customer.io,false,3,5,0,2,4,1,55,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
ortto.com,Ortto,false,3,3,1,5,3,5,64,B,Silver,Expanding revtech / gtm saas selling to GTM operators.
influ2.com,Influ2,false,3,5,3,5,4,2,76,A,Headline Partner,Expanding revtech / gtm saas selling to GTM operators.
encharge.io,Encharge,false,3,5,3,5,4,1,74,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
commonroom.io,Common Room,false,3,5,5,4,4,1,76,A,Headline Partner,Expanding revtech / gtm saas selling to GTM operators.
rb2b.com,RB2B,false,3,3,4,5,3,0,63,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
crossbeam.com,Crossbeam,false,3,5,5,3,4,3,76,A,Platinum,Expanding revtech / gtm saas selling to GTM operators.
partnerstack.com,PartnerStack,false,3,5,1,2,4,5,65,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
bevy.com,Bevy,false,3,5,4,2,4,2,68,B,Gold,Expanding gtm service / agency selling to GTM operators.
goldcast.io,Goldcast,false,3,5,0,1,4,1,51,C,Side-event Partner,Expanding revtech / gtm saas selling to GTM operators.
luma.com,Luma,false,3,5,4,2,4,2,68,B,Gold,Expanding revtech / gtm saas selling to GTM operators.
elevenlabs.io,ElevenLabs,false,4,3,5,2,4,2,65,B,Gold,Yes ai / infra selling to GTM operators.
notioncapital.com,Notion Capital,false,5,3,5,2,4,1,67,B,Silver,London-HQ investor selling to GTM operators.
episode1.com,Episode 1 Ventures,false,5,3,1,2,4,3,59,B,Silver,London-HQ investor selling to GTM operators.
localglobe.vc,LocalGlobe,false,5,3,0,4,4,5,68,B,Gold,London-HQ investor selling to GTM operators.
seedcamp.com,Seedcamp,false,5,3,1,4,4,5,70,B,Gold,London-HQ investor selling to GTM operators.
balderton.com,Balderton Capital,false,5,3,3,5,4,5,80,A,Platinum,London-HQ investor selling to GTM operators.
hoxton.ventures,Hoxton Ventures,false,5,3,0,4,4,1,60,B,Gold,London-HQ investor selling to GTM operators.
pointnine.com,Point Nine,false,3,3,3,3,3,0,53,C,Startup / Community,Expanding investor selling to GTM operators.
indexventures.com,Index Ventures,false,5,3,5,4,4,1,74,B,Gold,London-HQ investor selling to GTM operators.
octopusventures.com,Octopus Ventures,false,5,3,1,5,4,2,69,B,Gold,London-HQ investor selling to GTM operators.
atomico.com,Atomico,false,5,3,3,5,4,4,78,A,Headline Partner,London-HQ investor selling to GTM operators.
dawncapital.com,Dawn Capital,false,5,3,4,1,4,0,58,B,Silver,London-HQ investor selling to GTM operators.
frontline.vc,Frontline Ventures,false,4,3,4,0,4,4,58,B,Gold,Yes investor selling to GTM operators.
mmc.vc,MMC Ventures,false,5,3,4,5,4,4,81,A,Platinum,London-HQ investor selling to GTM operators.
eightroads.com,Eight Roads,false,5,3,2,4,4,1,66,B,Gold,London-HQ investor selling to GTM operators.
83north.com,83North,false,5,3,4,4,4,0,69,B,Silver,London-HQ investor selling to GTM operators.
accel.com,Accel,false,4,3,3,4,4,3,69,B,Gold,Yes investor selling to GTM operators.
northzone.com,Northzone,false,4,3,3,1,4,2,56,B,Silver,Yes investor selling to GTM operators.
project-a.vc,Project A,false,4,3,1,3,4,1,56,B,Gold,Yes investor selling to GTM operators.
felixcap.com,Felix Capital,false,5,3,2,2,4,2,60,B,Gold,London-HQ investor selling to GTM operators.
